id,comments,sentiment,magnitude
1,I think the city should close the streets as they are doing for more outdoor restaurant space every May-October not just during Covid. Summer outdoor dining is wonderful. Dining outside on Main Street with traffic and trucks is not a pleasant experience.,-0.1,2.4
2,"While I think this whole project is well-intended, I fear that we're wasting money and time on projects that will actually have more negative effect than positives. I'm a big bicycling fan, but we need to fix the existing paths before beginning anything new. Plus, the byproduct automotive traffic congestion will be outrageous, I can't imagine what Main St. at Stadium will be like during rush hour. Great intentions, but typically misguided here in A2.",-0.6,2.4
3,Big fan!! I dream of the day when these are made permanent. Riding through what is completed of Division just now felt revolutionary in terms of how safe and comfortable I felt compared to my normal rides on this road. I really hope that I dont get harassed by drivers parking in bike lanes or otherwise messing this up!,0.5,3.2
4,"Catherine St is a residential street with paid residential parking permits to allow people that live here to have somewhere to park. While the scheme I'm sure will have benefits, what consultation or allowances are given to people that live in the immediately affected areas to ensure this doesn't push out more residents from downtown. Residential parking bays have been recently eroded and replaced by paid meters on this street. Are we being squeezed out of Kerrytown/Old 4th?",-0.2,0.9
5,Please get some common sense and move return the left turn lanes. The juice is simply Not worth the squeeze here.,-0.7,1.4
6,", these projects proceeded without requests by 20% of people in an area that was supposed to be the threshold yet they went ahead anyway This just shows that they are a pet project of a group at city hall who want to do it no matter what",-0.7,0.7
7,Your anti-car bias is evident.,-0.8,0.8
8,would love these to be permanent and clearer for drivers to understand so they dont park in them etc. Would be nice if there was a welcome sign or something on the north side of the broadway bridge bc it's not obvious that the barrels are for a 2 way bikeway and i saw ppl still riding on the sidewalk,-0.1,0.2
9,"This is a wonderful project! Ann Arbor is sorely lacking bike infrastructure and these pilot lanes will go a long way to improve that if they are made permanent. It has drawn my attention to a few things that make Ann Arbor still a difficult city to ride a bike in. Many of the roads in Ann Arbor are filled with potholes or poorly done patches. It's one thing to go over a pothole in car, but I almost feel like I need to trade in my bike for a mountain bike the roads are so bad. Drivers in Ann Arbor also seem very unused to having to share the road with bicyclists compared to other places I've lived and I would like to see a bigger education project around that.",-0.1,4.2
10,Make the pilot bike lanes permanent!,0.2,0.2
11,"I'm working from home for the next year during COVID, so this hasn't actually helped with commuting, but PLEASE continue it! My work bike ride commute up Division + Broadway Bridge each day is nerve-wracking.",-0.1,0.2
12,Please don't use police for enforcement against vehicles that make issues in the new bike lanes.,-0.8,0.8
13,"Overall, I'm very supportive of these projects and I hope they continue throughout the year and into the next one.",0.9,0.9
14,"Expanding the protected bike lane network can only be a benefit for this city. I look forward having a large, safe network in the (hopefully near) future!",0.5,1.0
15,I would like downtown to have more bike racks.,0.0,0.0
16,"My girlfriend and I wanted to write to give feedback about how much we love the pilot projects. We both rode our bicycles before the recent projects, but are doing so more often now. The Division street segment is near where we live by the medical center, and has made it much easier to get downtown. We hope that the projects are continued beyond the 90 days.",0.7,2.8
17,Please make permanent with concrete dividers,0.1,0.1
18,Please keep and expand areas for increased walking and biking access!,0.1,0.1
19,AADDA and the smithgroup seem determined to turn downtown into gridlock for cars. Is this really a good idea?,-0.2,0.4
20,Thanks for all your work. This is a great effort. Promoting a landscape that welcomes all modes of transportation is equitable and fair and the right thing to do. Automobiles and their massive infrastructure greatly dominate our lives. You are helping to bring some balance.,0.8,4.2
21,the plan is too drastic for the bike use overall,-0.8,0.8
22,"My family hopes that these changes will be permanent, as they have improved our quality of life.",0.8,0.8
23,MORE SPACE FOR PEOPLE (and bikes and buses) AND LESS SPACE FOR CARS! Reconfiguring downtown to be a place that is friendly to the folks who live there and folks who commute in on bikes or on the bus is ESSENTIAL. It will make downtown safer and discourage folks from driving to and around downtown unneccesarily.,0.4,1.2
24,The closure from Packard from Eisenhower to platt has created additional traffic in the nearby neighborhoods due to people trying to escape the massive traffic logjam. This may have been fine during the Covid lockdown but traffic is back to near pre-Covid levels after the university classes started. Please end this experiment before a child is injured due to angry driver speeding in the neighborhoods.,-0.5,1.6
25,"The results of these pilots have been universally positive in my opinion, allowing for safer pedestrian travel and a much more pleasant downtown (the street closures are another positive and should be expanded). Really, the city should look at the general results of these pilots and consider making many of our downtown streets transit/bike malls. There's no reason cars should be treating certain down downtown streets as through-streets/arterials (always trying to kill all the students crossing N State it seems). The argument against this always seems to come from people who want street parking downtown, something which should really be removed in most cases. We have ramps for that purpose, and it's a high cost for the rest of us to pay for someone's minor inconvenience.",-0.2,3.1
26,Make more areas walkable!,0.4,0.4
27,Why do you think that the fairies and gnomes can just make cars going away????? All this is doing to Main street is forcing traffic into neighborhoods. Actually get out of your cushy loft apartments and see the chaos your are creating. Much like your pedestrian killer crosswalks,-0.4,2.3
28,I think you should all be fired.,-0.7,0.7
29,Dont take away resident street parking.,-0.1,0.1
30,"please get rid of them. particularly the one on Division. If the interest is in bike lanes, then add one, but don't take away a full lane of traffic",-0.3,1.1
31,"this is a ridiculous and expensive project. traffic is already backed up - we don't need further reduction in traffic lanes and narrowing of streets. we can't take aata right now and not everyone can walk or bike. in addition, the changes are confusing to drivers. bikers should not have to use the streets - give them a separate path off the roads.",-0.6,3.2
32,"I feel unsafe with delivery drivers parked across the two lanes, and the giant speed bumps on Division are dangerous",-0.8,0.8
33,These are great!!! All for more -- and for making them permanent!,0.9,1.9
34,"It is the Tour de France bicycle race now. They have a phrase they use a lot: Traffic Furniture. It means all those things that are impeding the cyclists in the roads: curbs in the middle, pedestal signs in the middle of the roads, etc etc. You are on the way to compete with the French countryside in Traffic Furniture. North Fifth Avenue is a classic case, there by Kerrytown. I understand you have done the same to South First Street. At least your STOP flaps re removable for the winter months but these curbs are not. I can hope for another winter with hardly any snow.",0.0,1.2
35,"This is fabulous and I'm so happy the city is doing these pilot projects. Division Street in particular feels so much safer and less of a thoroughfare where cars go 45 mph from Huron to the Broadway Bridge. Thanks very much to all the folks who were part of getting this together, I really appreciate it.",0.9,2.8
36,"Traffic on Main St. from the Stadium an on is awful. That is the main road in and out of campus and you all decided to go down to one lane? Traffic was already worse enough as it was when it was 2 lanes. Sat there for over 45 minutes the other day trying to get out to Ann Arbor Saline Rd. Now with all the projects and ""Healthy Streets"" you've got going on, nothing is worth coming into Ann Arbor anymore. Will be going somewhere else where I can actually get around the town.",-0.7,4.5
37,"These projects have increased accessibility for our family with children, and allow us to travel by bike as a family more often. This also increases our use of and purchases from small businesses in the downtown area. We live off of Packard and Platt, and have witnesses many accidents impacting pedestrians/bicyclists and are grateful for the pilot project which will hopefully also help to slow wildly speeding traffic that puts our children, pets, pedestrians, etc. in danger.",0.9,2.8
38,"For the entry/exit zone at the north end of division's bike lane, it would be really advantageous to configure better signaling to the bike lane. As I write this, the paint lines have not yet been extended beyond only the southern portion of the bridge demarcating the bike lane. On another note, please remove the cones on the center lines (in the middle of the bike lane(s) - these are more hazardous than helpful to bikers/pedestrians. All-in-all, I really hope these lanes and initiatives continue in AA and are able to expand further. Thank you for making the streets for people!!!",0.2,3.2
39,Please get rid of these traffic obstacles. There is plenty of room for biking and walking without the need to create More obstacles for drivers.,0.0,1.3
